task_id,tenant,order_id,sender,hub,zone,flow,task_pool,partner,title,content,date,time_slot,type,service_time,start,end,service_fee,items,start_task_validation,end_task_validation,status_code,status_group
99999943,375,8690493,W,IqvL0,49,HCYU,1,93,5,hO,2020-11-10 00:34:58.518846,HCYU,uxT7quf,NyG,Moil Crescent,Surcingle Drive,10000.0,5,W,29,3,8
99999942,375,8690493,W,IqvL0,49,HCYU,1,93,5,NyG,2020-11-10 00:34:58.518846,HCYU,uxT7quf,NyG,Moil Crescent,Surcingle Drive,10000.0,5,W,29,3,8
99999941,375,8690493,W,IqvL0,49,HCYU,375,93,5,NyG,2020-11-10 00:34:58.518846,HCYU,uxT7quf,NyG,Moil Crescent,Surcingle Drive,10000.0,5,W,29,3,8
99999940,62,8690493,MM,niLg3e,95,5LAG3N,726,221,PRj7S,dgwDj,2020-02-08 04:29:13.102740,ddB,G,Aw,Moil Crescent,Surcingle Drive,9999.0,yrncEAE,55WNV,p,10,7
99999938,62,8690493,MM,5LAG3N,95,5LAG3N,726,221,PRj7S,dgwDj,2020-02-08 04:29:13.102740,ddB,G,Aw,Moil Crescent,Surcingle Drive,9999.0,yrncEAE,55WNV,p,10,7
99999937,62,8690493,MM,5LAG3N,95,5LAG3N,726,221,PRj7S,dgwDj,2020-02-08 04:29:13.102740,ddB,G,Aw,Moil Crescent,Surcingle Drive,9999.0,yrncEAE,55WNV,5LAG3N,10,7
99999936,62,8690493,MM,5LAG3N,95,5LAG3N,726,221,PRj7S,dgwDj,2020-02-08 04:29:13.102740,5LAG3N,G,Aw,Moil Crescent,Surcingle Drive,9999.0,yrncEAE,55WNV,5LAG3N,10,7
99999933,454,8690493,fUJ8,y,47,XLwVMJHkfri,903,722,R,z,2021-09-04 18:52:36.011788,Paln38y,9VUP,ujQmJ2dkg,Moil Crescent,Surcingle Drive,0.01,ogjDm,La9,xFYMTpoV,7,9
99999932,454,8690493,fUJ8,y,47,9VUP,903,722,R,z,2021-09-04 18:52:36.011788,Paln38y,9VUP,ujQmJ2dkg,Moil Crescent,Surcingle Drive,0.01,ogjDm,La9,xFYMTpoV,7,9
99999931,903,8690493,fUJ8,y,47,9VUP,903,722,R,z,2021-09-04 18:52:36.011788,Paln38y,9VUP,ujQmJ2dkg,Moil Crescent,Surcingle Drive,0.01,ogjDm,La9,xFYMTpoV,7,9
99999930,903,8690493,fUJ8,y,47,y,903,722,R,z,2021-09-04 18:52:36.011788,Paln38y,9VUP,ujQmJ2dkg,Moil Crescent,Surcingle Drive,0.01,ogjDm,La9,xFYMTpoV,7,9
99999929,903,8690493,fUJ8,y,47,y,722,722,R,z,2021-09-04 18:52:36.011788,Paln38y,9VUP,ujQmJ2dkg,Moil Crescent,Surcingle Drive,0.01,ogjDm,La9,xFYMTpoV,7,9
99999928,903,8690493,fUJ8,y,47,y,722,722,fUJ8,z,2021-09-04 18:52:36.011788,Paln38y,9VUP,ujQmJ2dkg,Moil Crescent,Surcingle Drive,0.01,ogjDm,La9,xFYMTpoV,7,9
99999927,903,8690493,fUJ8,y,47,y,722,722,fUJ8,z,2021-09-04 18:52:36.011788,Paln38y,9VUP,ujQmJ2dkg,Moil Crescent,Surcingle Drive,0.01,ogjDm,La9,xFYMTpoV,7,7
99999926,63,8690493,LX,fS,87,7PhkcMninC,520,792,g,0COIfecyIE3Kuc,2024-06-07 05:24:53.595538,Tv1l,1C98,psVkd,Moil Crescent,Surcingle Drive,2.0,nghePEp,1,2xO,9,4
99999925,63,8690493,LX,fS,87,7PhkcMninC,520,792,nghePEp,0COIfecyIE3Kuc,2024-06-07 05:24:53.595538,Tv1l,1C98,psVkd,Moil Crescent,Surcingle Drive,2.0,nghePEp,1,2xO,9,4
99999924,63,8690493,LX,fS,87,7PhkcMninC,520,792,nghePEp,0COIfecyIE3Kuc,2024-06-07 05:24:53.595538,1C98,1C98,psVkd,Moil Crescent,Surcingle Drive,2.0,nghePEp,1,2xO,9,4
99999923,63,8690493,LX,fS,87,1C98,520,792,nghePEp,0COIfecyIE3Kuc,2024-06-07 05:24:53.595538,1C98,1C98,psVkd,Moil Crescent,Surcingle Drive,2.0,nghePEp,1,2xO,9,4
99999921,63,8690493,LX,fS,87,1C98,520,792,nghePEp,0COIfecyIE3Kuc,2024-06-07 05:24:53.595538,1C98,1C98,psVkd,Moil Crescent,Surcingle Drive,2.0,nghePEp,2xO,2xO,9,4
99999920,63,8690493,LX,fS,87,1C98,520,792,nghePEp,0COIfecyIE3Kuc,2024-06-07 05:24:53.595538,1C98,1C98,psVkd,Moil Crescent,Surcingle Drive,2.0,psVkd,2xO,2xO,9,4
99999919,604,8690493,I2NJKukV,G7,35,O,1,259,2BIYP,6,2021-03-12 23:04:48.265687,SOUl2wa17,mb8,bs,Moil Crescent,Surcingle Drive,0.33,Bp2eXJKzL3,Hfs,5iW,4,10
99999918,604,8690493,I2NJKukV,6,35,O,1,259,2BIYP,6,2021-03-12 23:04:48.265687,SOUl2wa17,mb8,bs,Moil Crescent,Surcingle Drive,0.33,Bp2eXJKzL3,Hfs,5iW,4,10
99999917,604,8690493,I2NJKukV,2BIYP,35,O,1,259,2BIYP,6,2021-03-12 23:04:48.265687,SOUl2wa17,mb8,bs,Moil Crescent,Surcingle Drive,0.33,Bp2eXJKzL3,Hfs,5iW,4,10
99999916,604,8690493,I2NJKukV,2BIYP,35,O,1,259,2BIYP,6,2021-03-12 23:04:48.265687,SOUl2wa17,mb8,bs,Moil Crescent,Surcingle Drive,0.33,Bp2eXJKzL3,Hfs,5iW,10,10
99999915,604,8690493,I2NJKukV,2BIYP,35,O,1,259,2BIYP,6,2021-03-12 23:04:48.265687,SOUl2wa17,mb8,2BIYP,Moil Crescent,Surcingle Drive,0.33,Bp2eXJKzL3,Hfs,5iW,10,10
99999914,604,8690493,I2NJKukV,2BIYP,35,O,1,1,2BIYP,6,2021-03-12 23:04:48.265687,SOUl2wa17,mb8,2BIYP,Moil Crescent,Surcingle Drive,0.33,Bp2eXJKzL3,Hfs,5iW,10,10
99999913,604,8690493,I2NJKukV,2BIYP,35,O,1,1,2BIYP,6,2021-03-12 23:04:48.265687,5iW,mb8,2BIYP,Moil Crescent,Surcingle Drive,0.33,Bp2eXJKzL3,Hfs,5iW,10,10
99999912,244,8690493,gPnovk7O,B53idDbENHmX,67,iY,649,976,Kw,RUiPWb5,2021-08-24 11:32:14.194914,ZNVDUBWB,R,oEjmzpLIIJKO2AkVmMfQXDDoXIU1Zaq2aks5Me,Moil Crescent,Surcingle Drive,1.5,D,Uxv,OIfL,7,4
99999911,244,8690493,gPnovk7O,B53idDbENHmX,67,iY,649,976,Kw,RUiPWb5,2021-08-24 11:32:14.194914,ZNVDUBWB,R,oEjmzpLIIJKO2AkVmMfQXDDoXIU1Zaq2aks5Me,Moil Crescent,Surcingle Drive,1.5,D,RUiPWb5,OIfL,7,4
99999910,244,8690493,gPnovk7O,B53idDbENHmX,67,iY,649,976,Kw,gPnovk7O,2021-08-24 11:32:14.194914,ZNVDUBWB,R,oEjmzpLIIJKO2AkVmMfQXDDoXIU1Zaq2aks5Me,Moil Crescent,Surcingle Drive,1.5,D,RUiPWb5,OIfL,7,4
99999908,244,8690493,gPnovk7O,B53idDbENHmX,67,iY,649,976,B53idDbENHmX,gPnovk7O,2021-08-24 11:32:14.194914,ZNVDUBWB,R,oEjmzpLIIJKO2AkVmMfQXDDoXIU1Zaq2aks5Me,Moil Crescent,Surcingle Drive,1.5,D,RUiPWb5,OIfL,7,4
99999907,244,8690493,gPnovk7O,B53idDbENHmX,67,iY,649,976,gPnovk7O,gPnovk7O,2021-08-24 11:32:14.194914,ZNVDUBWB,R,oEjmzpLIIJKO2AkVmMfQXDDoXIU1Zaq2aks5Me,Moil Crescent,Surcingle Drive,1.5,D,RUiPWb5,OIfL,7,4
99999905,143,8690493,sdlXeVOxyeW576J,nR,53,YzSSSb,325,1000,I5hmxtD3,2V,2021-09-13 10:29:12.227353,p9j,DY0kxm,CrfQu,Moil Crescent,Surcingle Drive,10000.0,Y,7tNwcog4dRpMGL,UFeFMVscWikHWRS,8,6
99999902,143,8690493,sdlXeVOxyeW576J,nR,53,YzSSSb,325,1000,CrfQu,2V,2021-09-13 10:29:12.227353,p9j,DY0kxm,CrfQu,Moil Crescent,Surcingle Drive,10000.0,Y,7tNwcog4dRpMGL,UFeFMVscWikHWRS,8,6
99999900,143,8690493,sdlXeVOxyeW576J,nR,53,YzSSSb,325,1000,p9j,2V,2021-09-13 10:29:12.227353,p9j,DY0kxm,CrfQu,Moil Crescent,Surcingle Drive,10000.0,Y,7tNwcog4dRpMGL,UFeFMVscWikHWRS,8,6
99999898,997,8690493,xZRy,K5cLv,18,g,359,231,0,e,2024-04-10 15:41:40.572096,2GhB,yJAB87i5CcutPj6dJOyzOsE,V,Moil Crescent,Surcingle Drive,1.1,BOZ,kCWU,3FG9,4,1
99999897,997,8690493,xZRy,K5cLv,18,g,359,997,0,e,2024-04-10 15:41:40.572096,2GhB,yJAB87i5CcutPj6dJOyzOsE,V,Moil Crescent,Surcingle Drive,1.1,BOZ,kCWU,3FG9,4,1
99999896,997,8690493,xZRy,K5cLv,1,g,359,997,0,e,2024-04-10 15:41:40.572096,2GhB,yJAB87i5CcutPj6dJOyzOsE,V,Moil Crescent,Surcingle Drive,1.1,BOZ,kCWU,3FG9,4,1
99999895,997,8690493,xZRy,3FG9,1,g,359,997,0,e,2024-04-10 15:41:40.572096,2GhB,yJAB87i5CcutPj6dJOyzOsE,V,Moil Crescent,Surcingle Drive,1.1,BOZ,kCWU,3FG9,4,1
99999894,997,8690493,xZRy,3FG9,1,g,997,997,0,e,2024-04-10 15:41:40.572096,2GhB,yJAB87i5CcutPj6dJOyzOsE,V,Moil Crescent,Surcingle Drive,1.1,BOZ,kCWU,3FG9,4,1
99999892,997,8690493,xZRy,3FG9,1,g,997,997,0,e,2024-04-10 15:41:40.572096,2GhB,yJAB87i5CcutPj6dJOyzOsE,3FG9,Moil Crescent,Surcingle Drive,1.1,BOZ,kCWU,3FG9,4,1
99999891,711,8690493,vLknptWScqVL8,u2,6,O3DlR,989,306,P,IM3Nuch2Rqij2zho1I,2021-02-21 20:03:21.193091,m8kKEB9HvrdbvBtjMUb3xhoS,H,iAXyZFXJvVmcS,Moil Crescent,Surcingle Drive,0.01,B,Hv,tR,8,2
99999890,711,8690493,m8kKEB9HvrdbvBtjMUb3xhoS,u2,6,O3DlR,989,306,P,IM3Nuch2Rqij2zho1I,2021-02-21 20:03:21.193091,m8kKEB9HvrdbvBtjMUb3xhoS,H,iAXyZFXJvVmcS,Moil Crescent,Surcingle Drive,0.01,B,Hv,tR,8,2
99999888,711,8690493,m8kKEB9HvrdbvBtjMUb3xhoS,iAXyZFXJvVmcS,6,O3DlR,989,306,P,IM3Nuch2Rqij2zho1I,2021-02-21 20:03:21.193091,m8kKEB9HvrdbvBtjMUb3xhoS,H,iAXyZFXJvVmcS,Moil Crescent,Surcingle Drive,0.01,B,Hv,tR,8,2
99999887,711,8690493,m8kKEB9HvrdbvBtjMUb3xhoS,iAXyZFXJvVmcS,6,O3DlR,306,306,P,IM3Nuch2Rqij2zho1I,2021-02-21 20:03:21.193091,m8kKEB9HvrdbvBtjMUb3xhoS,H,iAXyZFXJvVmcS,Moil Crescent,Surcingle Drive,0.01,B,Hv,tR,8,2
99999886,711,8690493,m8kKEB9HvrdbvBtjMUb3xhoS,iAXyZFXJvVmcS,6,m8kKEB9HvrdbvBtjMUb3xhoS,306,306,P,IM3Nuch2Rqij2zho1I,2021-02-21 20:03:21.193091,m8kKEB9HvrdbvBtjMUb3xhoS,H,iAXyZFXJvVmcS,Moil Crescent,Surcingle Drive,0.01,B,Hv,tR,8,2
99999884,787,8690493,cJr,8,92,p,1,2,KZG1rjEKdYScz8N8v8,6WA,2020-06-01 16:01:47.854457,mVR0arhG,Mg2zkPobfLJ6yIK8v,3Nf9yDsZ,Moil Crescent,Surcingle Drive,0.5,htcZxUb9rntHDfHAh3y,0lS1ofdAd6,dT,1,10
99999883,787,8690493,cJr,8,10,p,1,2,KZG1rjEKdYScz8N8v8,6WA,2020-06-01 16:01:47.854457,mVR0arhG,Mg2zkPobfLJ6yIK8v,3Nf9yDsZ,Moil Crescent,Surcingle Drive,0.5,htcZxUb9rntHDfHAh3y,0lS1ofdAd6,dT,1,10
99999882,787,8690493,cJr,8,10,p,1,787,KZG1rjEKdYScz8N8v8,6WA,2020-06-01 16:01:47.854457,mVR0arhG,Mg2zkPobfLJ6yIK8v,3Nf9yDsZ,Moil Crescent,Surcingle Drive,0.5,htcZxUb9rntHDfHAh3y,0lS1ofdAd6,dT,1,10
99999881,787,8690493,cJr,8,10,p,1,787,KZG1rjEKdYScz8N8v8,6WA,2020-06-01 16:01:47.854457,p,Mg2zkPobfLJ6yIK8v,3Nf9yDsZ,Moil Crescent,Surcingle Drive,0.5,htcZxUb9rntHDfHAh3y,0lS1ofdAd6,dT,1,10
99999878,787,8690493,cJr,Mg2zkPobfLJ6yIK8v,10,p,1,787,KZG1rjEKdYScz8N8v8,6WA,2020-06-01 16:01:47.854457,p,Mg2zkPobfLJ6yIK8v,3Nf9yDsZ,Moil Crescent,Surcingle Drive,0.5,htcZxUb9rntHDfHAh3y,0lS1ofdAd6,dT,1,10
99999877,732,8690493,rJj,Xsz,67,W83,262,572,WR,Q1aP2DTeLntiRhzrEB0uQ,2022-05-04 20:15:54.763497,ysur2S,OCQwbrm,8oa,Moil Crescent,Surcingle Drive,3555.42,a4I4bj4nGN4mUOtjRBrLmYc6O71B,LbauFZ50xS1Zn,FYy,3,9
99999876,732,8690493,rJj,Xsz,67,W83,262,572,WR,Q1aP2DTeLntiRhzrEB0uQ,2022-05-04 20:15:54.763497,8oa,OCQwbrm,8oa,Moil Crescent,Surcingle Drive,3555.42,a4I4bj4nGN4mUOtjRBrLmYc6O71B,LbauFZ50xS1Zn,FYy,3,9
99999875,732,8690493,rJj,Xsz,67,W83,262,572,WR,Q1aP2DTeLntiRhzrEB0uQ,2022-05-04 20:15:54.763497,8oa,OCQwbrm,8oa,Moil Crescent,Surcingle Drive,3555.42,a4I4bj4nGN4mUOtjRBrLmYc6O71B,LbauFZ50xS1Zn,8oa,3,9
99999874,732,8690493,rJj,Xsz,67,W83,262,572,WR,Q1aP2DTeLntiRhzrEB0uQ,2022-05-04 20:15:54.763497,8oa,OCQwbrm,8oa,Moil Crescent,Surcingle Drive,3555.42,a4I4bj4nGN4mUOtjRBrLmYc6O71B,LbauFZ50xS1Zn,LbauFZ50xS1Zn,3,9
99999873,732,8690493,rJj,8oa,67,W83,262,572,WR,Q1aP2DTeLntiRhzrEB0uQ,2022-05-04 20:15:54.763497,8oa,OCQwbrm,8oa,Moil Crescent,Surcingle Drive,3555.42,a4I4bj4nGN4mUOtjRBrLmYc6O71B,LbauFZ50xS1Zn,LbauFZ50xS1Zn,3,9
99999870,487,8690493,gBCK02ZyK9,Zq,8,c9pQrLjFuM2SisNN,81,511,AW,paf,2022-12-06 15:21:31.089555,XgYUOIStT,4GkE,0VZk,Moil Crescent,Surcingle Drive,0.01,5267oYzPohNB30QEaZ,uY,nBbcXyBudY1n,1,3
99999869,487,8690493,gBCK02ZyK9,Zq,8,c9pQrLjFuM2SisNN,81,511,gBCK02ZyK9,paf,2022-12-06 15:21:31.089555,XgYUOIStT,4GkE,0VZk,Moil Crescent,Surcingle Drive,0.01,5267oYzPohNB30QEaZ,uY,nBbcXyBudY1n,1,3
99999868,487,8690493,gBCK02ZyK9,Zq,8,c9pQrLjFuM2SisNN,81,511,gBCK02ZyK9,paf,2022-12-06 15:21:31.089555,XgYUOIStT,4GkE,0VZk,Moil Crescent,Surcingle Drive,0.01,5267oYzPohNB30QEaZ,uY,nBbcXyBudY1n,8,3
99999866,487,8690493,gBCK02ZyK9,Zq,8,Zq,81,511,gBCK02ZyK9,paf,2022-12-06 15:21:31.089555,XgYUOIStT,4GkE,0VZk,Moil Crescent,Surcingle Drive,0.01,5267oYzPohNB30QEaZ,uY,nBbcXyBudY1n,8,3
99999865,1,8690493,0,0,1,0,1,1,0,0,2020-01-01 00:00:00.000000,0,0,0,Moil Crescent,Surcingle Drive,0.01,0,0,0,1,1
99999864,1,8690493,0,0,1,0,1,1,0,0,2020-01-01 00:00:00.000000,0,0,0,Moil Crescent,Surcingle Drive,1.01,0,0,0,1,1
99999863,259,8690493,CgMH57pcEsO,U5i18mUlAN7QY7,28,zkrH,824,838,nC4j0DvYQwWuAAvQtE,nJMII7L6,2022-07-05 04:43:10.877804,MlM,r,SNEz,Moil Crescent,Surcingle Drive,1.01,llivpdg0hcn,qtgCW,Jdv77M,9,10
99999862,1,8690493,0,0,1,0,1,1,0,0,2020-01-01 00:00:00.000000,0,0,0,Moil Crescent,Surcingle Drive,0.01,0,0,0,1,1
