work_id,tenant,order_id,sender,flow,hub,zone,start_date,start_time,end_date,end_time,start,end,items,references,fee,reviewed,scheduled_time,auto_publish_time,status_code,estimation,distance,channel
999989,163,5430303,fDTqx6hu9knWFTcLXtUPT,Q13HkMb6z,JbSrge5n5krdDJBvr5ui9kp,83,2020-12-14 17:42:13.950774,2020-12-14 17:42:13.950774,2020-12-14 18:11:32.395157,2020-12-14 18:11:32.395157,Moil Crescent,Surcingle Drive,cJQ8l,ADdko2Vw4JayRTT68iogaFeJ1Og,0.01,b1,2020-12-14 17:42:13.950774,2020-12-14 17:42:13.950774,hqG,eJrq4hE,9.659999999999998,7
999988,163,5430303,fDTqx6hu9knWFTcLXtUPT,Q13HkMb6z,ADdko2Vw4JayRTT68iogaFeJ1Og,83,2020-12-14 17:42:13.950774,2020-12-14 17:42:13.950774,2020-12-14 18:11:32.395157,2020-12-14 18:11:32.395157,Moil Crescent,Surcingle Drive,cJQ8l,ADdko2Vw4JayRTT68iogaFeJ1Og,0.01,b1,2020-12-14 17:42:13.950774,2020-12-14 17:42:13.950774,hqG,eJrq4hE,9.659999999999998,7
999987,163,5430303,fDTqx6hu9knWFTcLXtUPT,hqG,ADdko2Vw4JayRTT68iogaFeJ1Og,83,2020-12-14 17:42:13.950774,2020-12-14 17:42:13.950774,2020-12-14 18:11:32.395157,2020-12-14 18:11:32.395157,Moil Crescent,Surcingle Drive,cJQ8l,ADdko2Vw4JayRTT68iogaFeJ1Og,0.01,b1,2020-12-14 17:42:13.950774,2020-12-14 17:42:13.950774,hqG,eJrq4hE,9.659999999999998,7
999983,163,5430303,fDTqx6hu9knWFTcLXtUPT,hqG,ADdko2Vw4JayRTT68iogaFeJ1Og,83,2020-12-14 17:42:13.950774,2020-12-14 17:42:13.950774,2020-12-14 18:11:32.395157,2020-12-14 18:11:32.395157,Moil Crescent,Surcingle Drive,b1,ADdko2Vw4JayRTT68iogaFeJ1Og,0.01,b1,2020-12-14 17:42:13.950774,2020-12-14 17:42:13.950774,hqG,eJrq4hE,9.659999999999998,7
999982,999,5430303,4tOEJSEE,icXA4bCVlJblyXWw,4A3n3qwU,16,2022-08-25 12:42:59.714680,2022-08-25 12:42:59.714680,2022-08-25 12:52:20.331927,2022-08-25 12:52:20.331927,Moil Crescent,Surcingle Drive,ZJA0,DtNFi6VY,1.5,X,2022-08-25 12:42:59.714680,2022-08-25 12:42:59.714680,m,Cy7SJRrN4,9.659999999999998,2
999981,999,5430303,4tOEJSEE,icXA4bCVlJblyXWw,ZJA0,16,2022-08-25 12:42:59.714680,2022-08-25 12:42:59.714680,2022-08-25 12:52:20.331927,2022-08-25 12:52:20.331927,Moil Crescent,Surcingle Drive,ZJA0,DtNFi6VY,1.5,X,2022-08-25 12:42:59.714680,2022-08-25 12:42:59.714680,m,Cy7SJRrN4,9.659999999999998,2
999980,999,5430303,4tOEJSEE,icXA4bCVlJblyXWw,ZJA0,16,2022-08-25 12:42:59.714680,2022-08-25 12:42:59.714680,2022-08-25 12:52:20.331927,2022-08-25 12:52:20.331927,Moil Crescent,Surcingle Drive,ZJA0,DtNFi6VY,1.5,icXA4bCVlJblyXWw,2022-08-25 12:42:59.714680,2022-08-25 12:42:59.714680,m,Cy7SJRrN4,9.659999999999998,2
999978,999,5430303,4tOEJSEE,icXA4bCVlJblyXWw,ZJA0,16,2022-08-25 12:42:59.714680,2022-08-25 12:42:59.714680,2022-08-25 12:52:20.331927,2022-08-25 12:52:20.331927,Moil Crescent,Surcingle Drive,ZJA0,4tOEJSEE,1.5,icXA4bCVlJblyXWw,2022-08-25 12:42:59.714680,2022-08-25 12:42:59.714680,m,Cy7SJRrN4,9.659999999999998,2
999976,999,5430303,4tOEJSEE,icXA4bCVlJblyXWw,ZJA0,16,2022-08-25 12:42:59.714680,2022-08-25 12:42:59.714680,2022-08-25 12:52:20.331927,2022-08-25 12:52:20.331927,Moil Crescent,Surcingle Drive,ZJA0,4tOEJSEE,1.5,icXA4bCVlJblyXWw,2022-08-25 12:42:59.714680,2022-08-25 12:42:59.714680,ZJA0,Cy7SJRrN4,9.659999999999998,2
999975,590,5430303,WZm8,s19caxG3Qy2,YOSyQ,68,2021-01-05 05:42:53.737860,2021-01-05 05:42:53.737860,2021-01-05 06:18:45.170026,2021-01-05 06:18:45.170026,Moil Crescent,Surcingle Drive,4eRYVhMZr,p1XgaB6581PxIxjfIWI79R,9914.12,ght70m,2021-01-05 05:42:53.737860,2021-01-05 05:42:53.737860,DLWgkAmzs,91,9.659999999999998,6
999974,590,5430303,WZm8,s19caxG3Qy2,YOSyQ,68,2021-01-05 05:42:53.737860,2021-01-05 05:42:53.737860,2021-01-05 06:18:45.170026,2021-01-05 06:18:45.170026,Moil Crescent,Surcingle Drive,4eRYVhMZr,p1XgaB6581PxIxjfIWI79R,9914.12,ght70m,2021-01-05 05:42:53.737860,2021-01-05 05:42:53.737860,DLWgkAmzs,WZm8,9.659999999999998,6
999970,590,5430303,WZm8,ght70m,YOSyQ,68,2021-01-05 05:42:53.737860,2021-01-05 05:42:53.737860,2021-01-05 06:18:45.170026,2021-01-05 06:18:45.170026,Moil Crescent,Surcingle Drive,4eRYVhMZr,p1XgaB6581PxIxjfIWI79R,9914.12,ght70m,2021-01-05 05:42:53.737860,2021-01-05 05:42:53.737860,DLWgkAmzs,WZm8,9.659999999999998,6
999968,574,5430303,RNrav,Y,po5,100,2024-07-03 13:02:10.448515,2024-07-03 13:02:10.448515,2024-07-03 13:52:14.918299,2024-07-03 13:52:14.918299,Moil Crescent,Surcingle Drive,Q,x,1.1,HCmT3jhmX4jOCYTEky,2024-07-03 13:02:10.448515,2024-07-03 13:02:10.448515,yMav,O,9.659999999999998,10
999966,574,5430303,RNrav,HCmT3jhmX4jOCYTEky,po5,100,2024-07-03 13:02:10.448515,2024-07-03 13:02:10.448515,2024-07-03 13:52:14.918299,2024-07-03 13:52:14.918299,Moil Crescent,Surcingle Drive,Q,x,1.1,HCmT3jhmX4jOCYTEky,2024-07-03 13:02:10.448515,2024-07-03 13:02:10.448515,yMav,O,9.659999999999998,10
999964,574,5430303,HCmT3jhmX4jOCYTEky,HCmT3jhmX4jOCYTEky,po5,100,2024-07-03 13:02:10.448515,2024-07-03 13:02:10.448515,2024-07-03 13:52:14.918299,2024-07-03 13:52:14.918299,Moil Crescent,Surcingle Drive,Q,x,1.1,HCmT3jhmX4jOCYTEky,2024-07-03 13:02:10.448515,2024-07-03 13:02:10.448515,yMav,O,9.659999999999998,10
999963,574,5430303,HCmT3jhmX4jOCYTEky,HCmT3jhmX4jOCYTEky,po5,100,2024-07-03 13:02:10.448515,2024-07-03 13:02:10.448515,2024-07-03 13:52:14.918299,2024-07-03 13:52:14.918299,Moil Crescent,Surcingle Drive,Q,x,1.1,O,2024-07-03 13:02:10.448515,2024-07-03 13:02:10.448515,yMav,O,9.659999999999998,10
999961,661,5430303,Ie,OFfF1,HPeSfqv,13,2022-06-07 16:54:55.512214,2022-06-07 16:54:55.512214,2022-06-07 17:14:31.405884,2022-06-07 17:14:31.405884,Moil Crescent,Surcingle Drive,Jx,dSSgfQ,3959.34,szIrRS,2022-06-07 16:54:55.512214,2022-06-07 16:54:55.512214,6ycVLwH6,n,9.659999999999998,6
999960,661,5430303,Ie,OFfF1,HPeSfqv,13,2022-06-07 16:54:55.512214,2022-06-07 16:54:55.512214,2022-06-07 17:14:31.405884,2022-06-07 17:14:31.405884,Moil Crescent,Surcingle Drive,6ycVLwH6,dSSgfQ,3959.34,szIrRS,2022-06-07 16:54:55.512214,2022-06-07 16:54:55.512214,6ycVLwH6,n,9.659999999999998,6
999957,661,5430303,Ie,OFfF1,HPeSfqv,13,2022-06-07 16:54:55.512214,2022-06-07 16:54:55.512214,2022-06-07 17:14:31.405884,2022-06-07 17:14:31.405884,Moil Crescent,Surcingle Drive,6ycVLwH6,dSSgfQ,3959.34,szIrRS,2022-06-07 16:54:55.512214,2022-06-07 16:54:55.512214,6ycVLwH6,dSSgfQ,9.659999999999998,6
999956,661,5430303,6ycVLwH6,OFfF1,HPeSfqv,13,2022-06-07 16:54:55.512214,2022-06-07 16:54:55.512214,2022-06-07 17:14:31.405884,2022-06-07 17:14:31.405884,Moil Crescent,Surcingle Drive,6ycVLwH6,dSSgfQ,3959.34,szIrRS,2022-06-07 16:54:55.512214,2022-06-07 16:54:55.512214,6ycVLwH6,dSSgfQ,9.659999999999998,6
999954,392,5430303,Ejf,pNH4m,P,37,2020-12-20 02:20:35.347575,2020-12-20 02:20:35.347575,2020-12-20 03:18:17.890026,2020-12-20 03:18:17.890026,Moil Crescent,Surcingle Drive,X,PDUHO,7150.52,khKgBa0YgjPDnLmYjVx7e16zx7UHZl,2020-12-20 02:20:35.347575,2020-12-20 02:20:35.347575,mZNK,M,9.659999999999998,9
999952,392,5430303,Ejf,pNH4m,P,37,2020-12-20 02:20:35.347575,2020-12-20 02:20:35.347575,2020-12-20 03:18:17.890026,2020-12-20 03:18:17.890026,Moil Crescent,Surcingle Drive,X,PDUHO,7150.52,khKgBa0YgjPDnLmYjVx7e16zx7UHZl,2020-12-20 02:20:35.347575,2020-12-20 02:20:35.347575,pNH4m,M,9.659999999999998,9
999949,392,5430303,Ejf,pNH4m,P,37,2020-12-20 02:20:35.347575,2020-12-20 02:20:35.347575,2020-12-20 03:18:17.890026,2020-12-20 03:18:17.890026,Moil Crescent,Surcingle Drive,M,PDUHO,7150.52,khKgBa0YgjPDnLmYjVx7e16zx7UHZl,2020-12-20 02:20:35.347575,2020-12-20 02:20:35.347575,pNH4m,M,9.659999999999998,9
999948,392,5430303,Ejf,pNH4m,P,37,2020-12-20 02:20:35.347575,2020-12-20 02:20:35.347575,2020-12-20 03:18:17.890026,2020-12-20 03:18:17.890026,Moil Crescent,Surcingle Drive,M,M,7150.52,khKgBa0YgjPDnLmYjVx7e16zx7UHZl,2020-12-20 02:20:35.347575,2020-12-20 02:20:35.347575,pNH4m,M,9.659999999999998,9
999947,661,5430303,tVTdcdsfC,SYQkHgXXshe,SQV4zkR,92,2022-07-01 23:04:53.935663,2022-07-01 23:04:53.935663,2022-07-01 23:47:29.454361,2022-07-01 23:47:29.454361,Moil Crescent,Surcingle Drive,pnA,y77,0.01,bvo3GQkVQaKZme1YpIrdF,2022-07-01 23:04:53.935663,2022-07-01 23:04:53.935663,ufmirHzhFQqjOLB,M61fGZ7w,9.659999999999998,1
999945,661,5430303,tVTdcdsfC,SYQkHgXXshe,SQV4zkR,92,2022-07-01 23:04:53.935663,2022-07-01 23:04:53.935663,2022-07-01 23:47:29.454361,2022-07-01 23:47:29.454361,Moil Crescent,Surcingle Drive,pnA,y77,0.01,bvo3GQkVQaKZme1YpIrdF,2022-07-01 23:04:53.935663,2022-07-01 23:04:53.935663,ufmirHzhFQqjOLB,SYQkHgXXshe,9.659999999999998,1
999941,661,5430303,tVTdcdsfC,SYQkHgXXshe,SQV4zkR,1,2022-07-01 23:04:53.935663,2022-07-01 23:04:53.935663,2022-07-01 23:47:29.454361,2022-07-01 23:47:29.454361,Moil Crescent,Surcingle Drive,pnA,y77,0.01,bvo3GQkVQaKZme1YpIrdF,2022-07-01 23:04:53.935663,2022-07-01 23:04:53.935663,ufmirHzhFQqjOLB,SYQkHgXXshe,9.659999999999998,1
999940,132,5430303,Hir8,msP1w,X6F9,42,2021-12-15 21:31:55.048034,2021-12-15 21:31:55.048034,2021-12-15 21:56:16.666697,2021-12-15 21:56:16.666697,Moil Crescent,Surcingle Drive,tW,suk,671.16,ldL4WDfkYCiaObHzM,2021-12-15 21:31:55.048034,2021-12-15 21:31:55.048034,jfUg,RtCvH,9.659999999999998,2
999938,132,5430303,Hir8,msP1w,X6F9,2,2021-12-15 21:31:55.048034,2021-12-15 21:31:55.048034,2021-12-15 21:56:16.666697,2021-12-15 21:56:16.666697,Moil Crescent,Surcingle Drive,tW,suk,671.16,ldL4WDfkYCiaObHzM,2021-12-15 21:31:55.048034,2021-12-15 21:31:55.048034,jfUg,RtCvH,9.659999999999998,2
999935,132,5430303,Hir8,msP1w,X6F9,2,2021-12-15 21:31:55.048034,2021-12-15 21:31:55.048034,2021-12-15 21:56:16.666697,2021-12-15 21:56:16.666697,Moil Crescent,Surcingle Drive,tW,suk,671.16,suk,2021-12-15 21:31:55.048034,2021-12-15 21:31:55.048034,jfUg,RtCvH,9.659999999999998,2
999934,132,5430303,Hir8,msP1w,X6F9,2,2021-12-15 21:31:55.048034,2021-12-15 21:31:55.048034,2021-12-15 21:56:16.666697,2021-12-15 21:56:16.666697,Moil Crescent,Surcingle Drive,tW,RtCvH,671.16,suk,2021-12-15 21:31:55.048034,2021-12-15 21:31:55.048034,jfUg,RtCvH,9.659999999999998,2
999933,19,5430303,z7,Cq60Hw8,jM6xR,21,2024-06-17 20:13:21.441778,2024-06-17 20:13:21.441778,2024-06-17 20:32:23.751045,2024-06-17 20:32:23.751045,Moil Crescent,Surcingle Drive,n,V,7426.16,Z,2024-06-17 20:13:21.441778,2024-06-17 20:13:21.441778,Mh,hSoiNxVELS,9.659999999999998,5
999931,19,5430303,z7,Cq60Hw8,jM6xR,21,2024-06-17 20:13:21.441778,2024-06-17 20:13:21.441778,2024-06-17 20:32:23.751045,2024-06-17 20:32:23.751045,Moil Crescent,Surcingle Drive,n,V,7426.16,Z,2024-06-17 20:13:21.441778,2024-06-17 20:13:21.441778,Mh,Cq60Hw8,9.659999999999998,5
999930,19,5430303,z7,Cq60Hw8,jM6xR,21,2024-06-17 20:13:21.441778,2024-06-17 20:13:21.441778,2024-06-17 20:32:23.751045,2024-06-17 20:32:23.751045,Moil Crescent,Surcingle Drive,n,V,7426.16,jM6xR,2024-06-17 20:13:21.441778,2024-06-17 20:13:21.441778,Mh,Cq60Hw8,9.659999999999998,5
999929,19,5430303,z7,Cq60Hw8,jM6xR,5,2024-06-17 20:13:21.441778,2024-06-17 20:13:21.441778,2024-06-17 20:32:23.751045,2024-06-17 20:32:23.751045,Moil Crescent,Surcingle Drive,n,V,7426.16,jM6xR,2024-06-17 20:13:21.441778,2024-06-17 20:13:21.441778,Mh,Cq60Hw8,9.659999999999998,5
999926,465,5430303,q,ri,uLyq,15,2020-11-14 12:07:59.371788,2020-11-14 12:07:59.371788,2020-11-14 12:40:56.788123,2020-11-14 12:40:56.788123,Moil Crescent,Surcingle Drive,6j,C8,10000.0,5,2020-11-14 12:07:59.371788,2020-11-14 12:07:59.371788,7R6eMhjS,t6U,9.659999999999998,5
999925,465,5430303,7R6eMhjS,ri,uLyq,15,2020-11-14 12:07:59.371788,2020-11-14 12:07:59.371788,2020-11-14 12:40:56.788123,2020-11-14 12:40:56.788123,Moil Crescent,Surcingle Drive,6j,C8,10000.0,5,2020-11-14 12:07:59.371788,2020-11-14 12:07:59.371788,7R6eMhjS,t6U,9.659999999999998,5
999924,465,5430303,7R6eMhjS,ri,uLyq,15,2020-11-14 12:07:59.371788,2020-11-14 12:07:59.371788,2020-11-14 12:40:56.788123,2020-11-14 12:40:56.788123,Moil Crescent,Surcingle Drive,C8,C8,10000.0,5,2020-11-14 12:07:59.371788,2020-11-14 12:07:59.371788,7R6eMhjS,t6U,9.659999999999998,5
999922,465,5430303,7R6eMhjS,ri,uLyq,15,2020-11-14 12:07:59.371788,2020-11-14 12:07:59.371788,2020-11-14 12:40:56.788123,2020-11-14 12:40:56.788123,Moil Crescent,Surcingle Drive,C8,C8,10000.0,5,2020-11-14 12:07:59.371788,2020-11-14 12:07:59.371788,7R6eMhjS,5,9.659999999999998,5
999920,465,5430303,C8,ri,uLyq,15,2020-11-14 12:07:59.371788,2020-11-14 12:07:59.371788,2020-11-14 12:40:56.788123,2020-11-14 12:40:56.788123,Moil Crescent,Surcingle Drive,C8,C8,10000.0,5,2020-11-14 12:07:59.371788,2020-11-14 12:07:59.371788,7R6eMhjS,5,9.659999999999998,5
999919,1000,5430303,pjRntl5aypJ,EMK8d9hr7,xvL1hQKSQ,74,2024-10-17 04:56:29.732437,2024-10-17 04:56:29.732437,2024-10-17 05:10:52.149747,2024-10-17 05:10:52.149747,Moil Crescent,Surcingle Drive,sB,NpzN1fJsfw,1.9,ae,2024-10-17 04:56:29.732437,2024-10-17 04:56:29.732437,hU,uNbQFkjuukX,9.659999999999998,8
999918,1000,5430303,pjRntl5aypJ,EMK8d9hr7,xvL1hQKSQ,74,2024-10-17 04:56:29.732437,2024-10-17 04:56:29.732437,2024-10-17 05:10:52.149747,2024-10-17 05:10:52.149747,Moil Crescent,Surcingle Drive,sB,NpzN1fJsfw,1.9,ae,2024-10-17 04:56:29.732437,2024-10-17 04:56:29.732437,NpzN1fJsfw,uNbQFkjuukX,9.659999999999998,8
999917,1000,5430303,pjRntl5aypJ,EMK8d9hr7,xvL1hQKSQ,8,2024-10-17 04:56:29.732437,2024-10-17 04:56:29.732437,2024-10-17 05:10:52.149747,2024-10-17 05:10:52.149747,Moil Crescent,Surcingle Drive,sB,NpzN1fJsfw,1.9,ae,2024-10-17 04:56:29.732437,2024-10-17 04:56:29.732437,NpzN1fJsfw,uNbQFkjuukX,9.659999999999998,8
999916,1000,5430303,pjRntl5aypJ,EMK8d9hr7,xvL1hQKSQ,8,2024-10-17 04:56:29.732437,2024-10-17 04:56:29.732437,2024-10-17 05:10:52.149747,2024-10-17 05:10:52.149747,Moil Crescent,Surcingle Drive,ae,NpzN1fJsfw,1.9,ae,2024-10-17 04:56:29.732437,2024-10-17 04:56:29.732437,NpzN1fJsfw,uNbQFkjuukX,9.659999999999998,8
999915,1000,5430303,pjRntl5aypJ,EMK8d9hr7,xvL1hQKSQ,8,2024-10-17 04:56:29.732437,2024-10-17 04:56:29.732437,2024-10-17 05:10:52.149747,2024-10-17 05:10:52.149747,Moil Crescent,Surcingle Drive,ae,NpzN1fJsfw,1.9,NpzN1fJsfw,2024-10-17 04:56:29.732437,2024-10-17 04:56:29.732437,NpzN1fJsfw,uNbQFkjuukX,9.659999999999998,8
999913,1000,5430303,pjRntl5aypJ,EMK8d9hr7,xvL1hQKSQ,8,2024-10-17 04:56:29.732437,2024-10-17 04:56:29.732437,2024-10-17 05:10:52.149747,2024-10-17 05:10:52.149747,Moil Crescent,Surcingle Drive,NpzN1fJsfw,NpzN1fJsfw,1.9,NpzN1fJsfw,2024-10-17 04:56:29.732437,2024-10-17 04:56:29.732437,NpzN1fJsfw,uNbQFkjuukX,9.659999999999998,8
999912,878,5430303,UTaE,1f2aB,8C3HEiaB5lhT,66,2024-07-20 02:27:22.888283,2024-07-20 02:27:22.888283,2024-07-20 03:07:29.230226,2024-07-20 03:07:29.230226,Moil Crescent,Surcingle Drive,pg,SfB,3675.75,1,2024-07-20 02:27:22.888283,2024-07-20 02:27:22.888283,0Y3BNLQ,Ui1,9.659999999999998,8
999911,878,5430303,8C3HEiaB5lhT,1f2aB,8C3HEiaB5lhT,66,2024-07-20 02:27:22.888283,2024-07-20 02:27:22.888283,2024-07-20 03:07:29.230226,2024-07-20 03:07:29.230226,Moil Crescent,Surcingle Drive,pg,SfB,3675.75,1,2024-07-20 02:27:22.888283,2024-07-20 02:27:22.888283,0Y3BNLQ,Ui1,9.659999999999998,8
999909,878,5430303,8C3HEiaB5lhT,1f2aB,8C3HEiaB5lhT,66,2024-07-20 02:27:22.888283,2024-07-20 02:27:22.888283,2024-07-20 03:07:29.230226,2024-07-20 03:07:29.230226,Moil Crescent,Surcingle Drive,pg,SfB,3675.75,Ui1,2024-07-20 02:27:22.888283,2024-07-20 02:27:22.888283,0Y3BNLQ,Ui1,9.659999999999998,8
999906,878,5430303,SfB,1f2aB,8C3HEiaB5lhT,66,2024-07-20 02:27:22.888283,2024-07-20 02:27:22.888283,2024-07-20 03:07:29.230226,2024-07-20 03:07:29.230226,Moil Crescent,Surcingle Drive,pg,SfB,3675.75,Ui1,2024-07-20 02:27:22.888283,2024-07-20 02:27:22.888283,0Y3BNLQ,Ui1,9.659999999999998,8
999905,355,5430303,60,qJa,C,25,2020-09-13 21:10:12.839879,2020-09-13 21:10:12.839879,2020-09-13 21:28:33.497986,2020-09-13 21:28:33.497986,Moil Crescent,Surcingle Drive,TLDnl,oSAg8SJhk,1.9,p3kg,2020-09-13 21:10:12.839879,2020-09-13 21:10:12.839879,g,kY,9.659999999999998,6
999903,355,5430303,60,qJa,C,25,2020-09-13 21:10:12.839879,2020-09-13 21:10:12.839879,2020-09-13 21:28:33.497986,2020-09-13 21:28:33.497986,Moil Crescent,Surcingle Drive,C,oSAg8SJhk,1.9,p3kg,2020-09-13 21:10:12.839879,2020-09-13 21:10:12.839879,g,kY,9.659999999999998,6
999902,355,5430303,60,qJa,C,25,2020-09-13 21:10:12.839879,2020-09-13 21:10:12.839879,2020-09-13 21:28:33.497986,2020-09-13 21:28:33.497986,Moil Crescent,Surcingle Drive,C,oSAg8SJhk,1.9,C,2020-09-13 21:10:12.839879,2020-09-13 21:10:12.839879,g,kY,9.659999999999998,6
999901,355,5430303,60,qJa,C,6,2020-09-13 21:10:12.839879,2020-09-13 21:10:12.839879,2020-09-13 21:28:33.497986,2020-09-13 21:28:33.497986,Moil Crescent,Surcingle Drive,C,oSAg8SJhk,1.9,C,2020-09-13 21:10:12.839879,2020-09-13 21:10:12.839879,g,kY,9.659999999999998,6
999900,355,5430303,oSAg8SJhk,qJa,C,6,2020-09-13 21:10:12.839879,2020-09-13 21:10:12.839879,2020-09-13 21:28:33.497986,2020-09-13 21:28:33.497986,Moil Crescent,Surcingle Drive,C,oSAg8SJhk,1.9,C,2020-09-13 21:10:12.839879,2020-09-13 21:10:12.839879,g,kY,9.659999999999998,6
999898,869,5430303,sN3N6Red,CfSDuMNt,L,94,2024-11-23 17:36:17.003841,2024-11-23 17:36:17.003841,2024-11-23 18:16:35.267239,2024-11-23 18:16:35.267239,Moil Crescent,Surcingle Drive,hPqJCno,wXNQQK,0.33,INQUwhV,2024-11-23 17:36:17.003841,2024-11-23 17:36:17.003841,v4rm,U5YQ0w7,9.659999999999998,4
999895,869,5430303,sN3N6Red,CfSDuMNt,L,94,2024-11-23 17:36:17.003841,2024-11-23 17:36:17.003841,2024-11-23 18:16:35.267239,2024-11-23 18:16:35.267239,Moil Crescent,Surcingle Drive,hPqJCno,wXNQQK,0.33,INQUwhV,2024-11-23 17:36:17.003841,2024-11-23 17:36:17.003841,v4rm,sN3N6Red,9.659999999999998,4
999893,869,5430303,sN3N6Red,CfSDuMNt,L,94,2024-11-23 17:36:17.003841,2024-11-23 17:36:17.003841,2024-11-23 18:16:35.267239,2024-11-23 18:16:35.267239,Moil Crescent,Surcingle Drive,hPqJCno,wXNQQK,0.33,INQUwhV,2024-11-23 17:36:17.003841,2024-11-23 17:36:17.003841,v4rm,CfSDuMNt,9.659999999999998,4
999891,635,5430303,QdB,xcGc4xSqB44,lTA,57,2024-02-05 02:08:03.058661,2024-02-05 02:08:03.058661,2024-02-05 02:46:45.679296,2024-02-05 02:46:45.679296,Moil Crescent,Surcingle Drive,ob9uwuncF6VhesdA7tw,jq7sS,0.5,ywVfG,2024-02-05 02:08:03.058661,2024-02-05 02:08:03.058661,yVb98r,L,9.659999999999998,5
999890,635,5430303,QdB,xcGc4xSqB44,lTA,57,2024-02-05 02:08:03.058661,2024-02-05 02:08:03.058661,2024-02-05 02:46:45.679296,2024-02-05 02:46:45.679296,Moil Crescent,Surcingle Drive,L,jq7sS,0.5,ywVfG,2024-02-05 02:08:03.058661,2024-02-05 02:08:03.058661,yVb98r,L,9.659999999999998,5
999888,635,5430303,QdB,xcGc4xSqB44,lTA,57,2024-02-05 02:08:03.058661,2024-02-05 02:08:03.058661,2024-02-05 02:46:45.679296,2024-02-05 02:46:45.679296,Moil Crescent,Surcingle Drive,L,jq7sS,0.5,ywVfG,2024-02-05 02:08:03.058661,2024-02-05 02:08:03.058661,yVb98r,jq7sS,9.659999999999998,5
999887,635,5430303,QdB,xcGc4xSqB44,lTA,57,2024-02-05 02:08:03.058661,2024-02-05 02:08:03.058661,2024-02-05 02:46:45.679296,2024-02-05 02:46:45.679296,Moil Crescent,Surcingle Drive,L,QdB,0.5,ywVfG,2024-02-05 02:08:03.058661,2024-02-05 02:08:03.058661,yVb98r,jq7sS,9.659999999999998,5
